speaker,filename,dur_a,dur_v
M04_kablab,ATR503_b06,7.7399375,7.36
M04_kablab,ATR503_a29,8.378625,7.96
M04_kablab,ATR503_e07,4.0778125,3.76
M04_kablab,ATR503_g42,10.474125,10.24
M04_kablab,ATR503_b44,6.1145,5.72
M04_kablab,ATR503_d14,6.316375,6.0
M04_kablab,ATR503_b40,7.82625,7.44
M04_kablab,ATR503_e28,4.20475,3.92
M04_kablab,ATR503_g34,6.2856875,6.04
M04_kablab,ATR503_h14,4.3723125,4.16
M04_kablab,ATR503_a15,7.5576875,7.16
M04_kablab,ATR503_e05,5.2858125,5.0
M04_kablab,ATR503_g38,6.720125,6.48
M04_kablab,ATR503_e43,12.417625,12.12
M04_kablab,ATR503_h19,5.9323125,5.72
M04_kablab,ATR503_h32,6.3028125,6.08
M04_kablab,ATR503_h42,7.347,7.12
M04_kablab,ATR503_a14,5.385,5.0
M04_kablab,ATR503_c21,11.29975,10.96
M04_kablab,ATR503_a08,5.16575,4.76
M04_kablab,ATR503_a46,8.5459375,8.12
M04_kablab,ATR503_e30,5.2441875,4.92
M04_kablab,ATR503_a32,5.5179375,5.12
M04_kablab,ATR503_c10,7.61425,7.28
M04_kablab,ATR503_g18,5.3620625,5.12
M04_kablab,ATR503_e46,5.5606875,5.28
M04_kablab,ATR503_f50,9.0350625,8.76
M04_kablab,ATR503_a01,4.8914375,4.52
M04_kablab,ATR503_d15,7.5715625,7.24
M04_kablab,ATR503_f38,8.0255,7.72
M04_kablab,ATR503_h38,4.039,3.84
M04_kablab,ATR503_h27,6.466375,6.24
M04_kablab,ATR503_g43,6.2020625,5.96
M04_kablab,ATR503_f34,5.3189375,5.04
M04_kablab,ATR503_g14,5.333375,5.08
M04_kablab,ATR503_b25,4.94925,4.56
M04_kablab,ATR503_e17,6.9175625,6.6
M04_kablab,ATR503_e19,5.2934375,4.96
M04_kablab,ATR503_f37,10.4238125,10.16
M04_kablab,ATR503_c15,6.17875,5.84
M04_kablab,ATR503_a50,6.8514375,6.48
M04_kablab,ATR503_h35,6.4775625,6.28
M04_kablab,ATR503_g17,8.3034375,8.04
M04_kablab,ATR503_b20,6.4123125,6.04
M04_kablab,ATR503_f31,4.3045,4.04
M04_kablab,ATR503_e40,8.5339375,8.24
M04_kablab,ATR503_f48,9.8333125,9.56
M04_kablab,ATR503_d23,4.213,3.88
M04_kablab,ATR503_b37,10.282875,9.92
M04_kablab,ATR503_e29,4.8665,4.56
M04_kablab,ATR503_b07,5.9995625,5.6
M04_kablab,ATR503_h04,4.19675,3.96
M04_kablab,ATR503_c47,5.84125,5.52
M04_kablab,ATR503_g40,6.4414375,6.16
M04_kablab,ATR503_f11,6.5654375,6.28
M04_kablab,ATR503_h28,3.221625,3.0
M04_kablab,ATR503_h03,7.15875,6.92
M04_kablab,ATR503_b13,5.3355625,4.96
M04_kablab,ATR503_b19,5.6085,5.2
M04_kablab,ATR503_d26,5.3516875,5.04
M04_kablab,ATR503_b03,7.038875,6.64
M04_kablab,ATR503_a44,5.485,5.08
M04_kablab,ATR503_b47,7.7560625,7.36
M04_kablab,ATR503_f35,7.859125,7.56
M04_kablab,ATR503_a23,6.131875,5.72
M04_kablab,ATR503_c40,4.69775,4.32
M04_kablab,ATR503_a09,5.9971875,5.6
M04_kablab,ATR503_c37,9.9264375,9.6
M04_kablab,ATR503_g07,4.02025,3.76
M04_kablab,ATR503_a02,4.4298125,4.04
M04_kablab,ATR503_d04,4.7281875,4.4
M04_kablab,ATR503_c12,4.911125,4.56
M04_kablab,ATR503_a27,6.2414375,5.84
M04_kablab,ATR503_c48,7.524875,7.2
M04_kablab,ATR503_f05,6.873125,6.6
M04_kablab,ATR503_h17,6.6325625,6.44
M04_kablab,ATR503_g44,6.5703125,6.32
M04_kablab,ATR503_d47,4.959625,4.64
M04_kablab,ATR503_g05,6.719125,6.44
M04_kablab,ATR503_c43,6.535125,6.2
M04_kablab,ATR503_a43,6.480375,6.08
M04_kablab,ATR503_f32,6.954375,6.68
M04_kablab,ATR503_g50,5.7645625,5.52
M04_kablab,ATR503_h11,6.2951875,6.04
M04_kablab,ATR503_g32,7.3000625,7.04
M04_kablab,ATR503_b34,7.093625,6.72
M04_kablab,ATR503_b33,8.186,7.84
M04_kablab,ATR503_d31,9.649375,9.32
M04_kablab,ATR503_b11,6.7638125,6.36
M04_kablab,ATR503_a13,6.257375,5.88
M04_kablab,ATR503_c44,4.51425,4.16
M04_kablab,ATR503_b26,4.394,4.0
M04_kablab,ATR503_d25,4.5734375,4.24
M04_kablab,ATR503_e27,5.2409375,4.96
M04_kablab,ATR503_h44,6.97525,6.72
M04_kablab,ATR503_f18,7.447375,7.16
M04_kablab,ATR503_c25,6.2148125,5.88
M04_kablab,ATR503_b15,4.228625,3.84
M04_kablab,ATR503_h43,4.643875,4.44
M04_kablab,ATR503_h10,5.10775,4.88
M04_kablab,ATR503_g25,7.5026875,7.28
M04_kablab,ATR503_h46,4.71275,4.48
M04_kablab,ATR503_a26,6.33075,5.92
M04_kablab,ATR503_h09,6.3299375,6.08
M04_kablab,ATR503_d37,7.1193125,6.76
M04_kablab,ATR503_f26,4.2995625,4.04
M04_kablab,ATR503_h25,4.95775,4.72
M04_kablab,ATR503_a20,4.6500625,4.24
M04_kablab,ATR503_h48,7.838875,7.6
M04_kablab,ATR503_d11,6.3591875,6.04
M04_kablab,ATR503_f10,6.02375,5.76
M04_kablab,ATR503_d13,5.5600625,5.24
M04_kablab,ATR503_f36,5.0814375,4.8
M04_kablab,ATR503_d33,6.5630625,6.24
M04_kablab,ATR503_g46,9.22825,9.0
M04_kablab,ATR503_e39,4.1336875,3.84
M04_kablab,ATR503_f25,4.46425,4.16
M04_kablab,ATR503_f49,7.273875,7.0
M04_kablab,ATR503_d29,8.8115625,8.48
M04_kablab,ATR503_b17,8.2165625,7.84
M04_kablab,ATR503_a04,5.8826875,5.48
M04_kablab,ATR503_g49,4.817125,4.56
M04_kablab,ATR503_e45,6.8454375,6.56
M04_kablab,ATR503_b08,4.1108125,3.72
M04_kablab,ATR503_a12,5.9024375,5.52
M04_kablab,ATR503_f44,6.8913125,6.6
M04_kablab,ATR503_h20,4.8979375,4.68
M04_kablab,ATR503_f17,6.6283125,6.36
M04_kablab,ATR503_a21,4.6268125,4.24
M04_kablab,ATR503_a42,5.751625,5.36
M04_kablab,ATR503_h41,5.2704375,5.04
M04_kablab,ATR503_e50,8.381125,8.08
M04_kablab,ATR503_d43,9.8589375,9.56
M04_kablab,ATR503_b10,7.540625,7.16
M04_kablab,ATR503_f45,7.1353125,6.84
M04_kablab,ATR503_g06,9.071875,8.8
M04_kablab,ATR503_b09,6.3360625,5.96
M04_kablab,ATR503_f46,8.10225,7.84
M04_kablab,ATR503_a05,5.6198125,5.24
M04_kablab,ATR503_b29,3.0004375,2.6
M04_kablab,ATR503_b36,5.791875,5.44
M04_kablab,ATR503_g16,5.3655,5.12
M04_kablab,ATR503_e33,4.2425,3.92
M04_kablab,ATR503_h12,7.1875625,6.96
M04_kablab,ATR503_d20,10.4454375,10.12
M04_kablab,ATR503_c17,5.095,4.72
M04_kablab,ATR503_b24,5.7188125,5.32
M04_kablab,ATR503_c03,6.2166875,5.88
M04_kablab,ATR503_d45,7.217375,6.88
M04_kablab,ATR503_d21,4.9686875,4.64
M04_kablab,ATR503_h07,5.1070625,4.88
M04_kablab,ATR503_b27,8.4349375,8.08
M04_kablab,ATR503_c28,7.6456875,7.28
M04_kablab,ATR503_d42,5.7036875,5.36
M04_kablab,ATR503_e22,6.332,6.04
M04_kablab,ATR503_e32,5.0323125,4.72
M04_kablab,ATR503_h30,5.5089375,5.28
M04_kablab,ATR503_a22,4.5174375,4.12
M04_kablab,ATR503_b16,5.0685,4.68
M04_kablab,ATR503_b46,3.409375,3.04
M04_kablab,ATR503_a35,4.7501875,4.36
M04_kablab,ATR503_e15,5.3559375,5.08
M04_kablab,ATR503_e08,6.6610625,6.36
M04_kablab,ATR503_g08,6.1506875,5.92
M04_kablab,ATR503_d09,7.9499375,7.64
M04_kablab,ATR503_b28,4.634375,4.28
M04_kablab,ATR503_d02,5.4220625,5.12
M04_kablab,ATR503_c01,7.0944375,6.72
M04_kablab,ATR503_c13,5.8885625,5.56
M04_kablab,ATR503_c09,4.1678125,3.84
M04_kablab,ATR503_d41,8.981625,8.64
M04_kablab,ATR503_g09,7.0215,6.76
M04_kablab,ATR503_g36,8.6861875,8.44
M04_kablab,ATR503_a37,5.2125625,4.8
M04_kablab,ATR503_g12,7.047125,6.8
M04_kablab,ATR503_h01,4.949125,4.72
M04_kablab,ATR503_g15,6.780375,6.52
M04_kablab,ATR503_d34,6.7509375,6.4
M04_kablab,ATR503_c45,5.8835625,5.52
M04_kablab,ATR503_c08,8.6416875,8.28
M04_kablab,ATR503_c22,6.460875,6.08
M04_kablab,ATR503_a31,7.1309375,6.72
M04_kablab,ATR503_d06,6.0985,5.8
M04_kablab,ATR503_e13,4.9796875,4.68
M04_kablab,ATR503_h40,4.44075,4.2
M04_kablab,ATR503_b23,5.8338125,5.44
M04_kablab,ATR503_d27,6.6478125,6.32
M04_kablab,ATR503_g39,6.5274375,6.28
M04_kablab,ATR503_f39,6.693375,6.4
M04_kablab,ATR503_b38,4.093,3.72
M04_kablab,ATR503_h18,6.8578125,6.64
M04_kablab,ATR503_a03,4.589625,4.2
M04_kablab,ATR503_a16,5.2590625,4.88
M04_kablab,ATR503_h34,6.409,6.16
M04_kablab,ATR503_h33,7.15625,6.92
M04_kablab,ATR503_e26,7.5579375,7.28
M04_kablab,ATR503_d12,5.60175,5.28
M04_kablab,ATR503_b30,9.7973125,9.4
M04_kablab,ATR503_d50,9.3505625,9.04
M04_kablab,ATR503_g45,6.8861875,6.64
M04_kablab,ATR503_g01,5.68825,5.44
M04_kablab,ATR503_e03,9.0995,8.8
M04_kablab,ATR503_c30,5.0425,4.72
M04_kablab,ATR503_e20,8.29925,8.0
M04_kablab,ATR503_d16,6.404875,6.08
M04_kablab,ATR503_e38,6.441625,6.16
M04_kablab,ATR503_d38,7.675375,7.36
M04_kablab,ATR503_g24,5.2968125,5.04
M04_kablab,ATR503_f24,6.8875625,6.6
M04_kablab,ATR503_b21,5.2428125,4.88
M04_kablab,ATR503_d07,4.668625,4.32
M04_kablab,ATR503_c33,7.37725,7.04
M04_kablab,ATR503_h37,8.321375,8.12
M04_kablab,ATR503_b49,9.4969375,9.12
M04_kablab,ATR503_h49,4.982375,4.76
M04_kablab,ATR503_e36,6.5284375,6.2
M04_kablab,ATR503_f12,6.7569375,6.48
M04_kablab,ATR503_e37,9.846125,9.56
M04_kablab,ATR503_b35,8.507375,8.12
M04_kablab,ATR503_a24,3.915875,3.52
M04_kablab,ATR503_g26,8.1775625,7.92
M04_kablab,ATR503_a07,8.6169375,8.2
M04_kablab,ATR503_f27,5.8876875,5.6
M04_kablab,ATR503_a19,4.8633125,4.48
M04_kablab,ATR503_e44,4.5871875,4.28
M04_kablab,ATR503_c19,8.368125,8.04
M04_kablab,ATR503_b12,5.4298125,5.04
M04_kablab,ATR503_a47,5.373,4.96
M04_kablab,ATR503_e41,6.5905625,6.28
